stcc5,stcc_description,bea_2017_commodity,bea_2017_description,basis
40261,Rubber Or Plastic Scrap Or Waste,S00401,Scrap,"BEA carries rail-hauled scrap as the Scrap commodity, not the metal it came from."
40291,"Waste Or Scrap, Nec",S00401,Scrap,"BEA carries rail-hauled scrap as the Scrap commodity, not the metal it came from."
41111,Outfits Or Kits,,,EXCLUDED: Outfits or kits - unspecified mixed contents.
41112,Used Plant Or Office Equipment Records Or Supplie,S00402,Used and secondhand goods,"Used and secondhand goods, which receives 23,868 $M of TRANS in 2017."
41114,Articles Used See 41115 Or 42111-12 Or 4021/4029,S00402,Used and secondhand goods,"Used and secondhand goods, which receives 23,868 $M of TRANS in 2017."
41115,Articles Used Returned For Repair Or Reconditioni,S00402,Used and secondhand goods,"Used and secondhand goods, which receives 23,868 $M of TRANS in 2017."
41116,Household Goods Or Emigrant Movables,S00402,Used and secondhand goods,"Used and secondhand goods, which receives 23,868 $M of TRANS in 2017."
41117,Military Impedimenta,,,"EXCLUDED: Military impedimenta - government materiel, no BEA goods commodity."
41118,Used Vehicles,S00402,Used and secondhand goods,"Used and secondhand goods, which receives 23,868 $M of TRANS in 2017."
41211,Special Commodities Not Taken In Reg Freight Serv,,,EXCLUDED: Special commodities not taken in regular freight service.
42211,Trailers Semi Trailers Orcontainers Return Empty,,,"EXCLUDED: Trailers, semi-trailers or containers returned empty."
42311,"Revenue Movement Of Containers,Carriers Or Device",,,"EXCLUDED: Revenue movement of containers, carriers or devices - equipment."
42312,Revenue Moves Of Shipping Devices,,,"EXCLUDED: Revenue moves of shipping devices - equipment, not freight."
44111,Freight Forwarder Traffic,,,"EXCLUDED: Freight forwarder traffic - the forwarder is shipper of record, so the underlying commodity is not reported."
46111,All Freight Rate Shipments Nec Or Tofc Shipments,,,EXCLUDED: All freight rate shipments NEC or TOFC. Trailer-on-flatcar and NEC rate shipments carry no commodity identity. 14.0% of rail revenue alone.
46211,"Mixed Shipments,2 Or Moremajor Groups",,,EXCLUDED: Mixed shipments spanning two or more major STCC groups.
47111,Small Packaged Freight Shipments,,,"EXCLUDED: Small packaged freight shipments - a service class, not a commodity."
48105,"Waste Flammable Liquids, Misc",562000,Waste management and remediation services,Waste management and remediation services.
48756,Waste Stream Other Regulated Materials Group E,562000,Waste management and remediation services,Waste management and remediation services.
