napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2012450000,33641A,1.0,NAICS_2012_Code,"Manufacturing of complete missiles, space vehicle engines, and propulsion units for U.S. Government military customers"
2012475000,33641A,1.0,NAICS_2012_Code,"Manufacturing of complete missiles, space vehicle engines, and propulsion units for U.S. Government nonmilitary customers"
2012500000,33641A,1.0,NAICS_2012_Code,"Manufacturing of complete missiles, space vehicle engines, and propulsion units for customers, excluding U.S. Government"
2012525000,33641A,1.0,NAICS_2012_Code,Manufacturing of missile and space vehicle engine and propulsion parts and accessories
2012525003,33641A,1.0,NAICS_2012_Code,Manufacturing of missile and space vehicle engine and propulsion parts and accessories for U.S. Government military customers
2012525006,33641A,1.0,NAICS_2012_Code,Manufacturing of missile and space vehicle engine and propulsion parts and accessories for U.S. Government nonmilitary customers
2012525009,33641A,1.0,NAICS_2012_Code,Manufacturing of missile and space vehicle engine and propulsion parts and accessories for other customers
2012550000,333111,1.0,NAICS_2012_Code,"Manufacturing of farm-type, power take-off hp, wheel tractors (2- and 4-wheel drive) sold with or without attachments (excluding parts)"
2012575000,333111,1.0,NAICS_2012_Code,"Manufacturing of farm dairy equipment, sprayers and dusters (excluding aerial types), farm blowers, and attachments"
2012575003,333111,1.0,NAICS_2012_Code,Manufacturing of farm-type dairy machines and equipment
2012575006,333111,1.0,NAICS_2012_Code,"Manufacturing of power sprayers, field and row crop types only, self-propelled"
2012575009,333111,1.0,NAICS_2012_Code,"Manufacturing of power sprayers, field and row crop types only, tractor-mounted propelled"
2012575012,333111,1.0,NAICS_2012_Code,"Manufacturing of PTO-driven sprayers and dusters, other than tractor-mounted"
2012575015,333111,1.0,NAICS_2012_Code,"Manufacturing of power sprayers, other than row crop and field types (over 4 g.p.m)"
2012575018,333111,1.0,NAICS_2012_Code,"Manufacturing of power sprayers, hand pulled and garden-type, 4 g.p.m. and under"
2012575021,333111,1.0,NAICS_2012_Code,"Manufacturing of agricultural hand sprayers, under 1 gallon"
2012575024,333111,1.0,NAICS_2012_Code,"Manufacturing of agricultural hand sprayers, compressed air or gas types, 1 gallon and over"
2012575027,333111,1.0,NAICS_2012_Code,"Manufacturing of other agricultural hand sprayers, including knapsack, hose end, and flame sprayers and sprayer pump types, 1 gallon and over"
2012575031,333111,1.0,NAICS_2012_Code,"Manufacturing of dusters, power, hand, all types"
2012575033,333111,1.0,NAICS_2012_Code,"Manufacturing of all other sprayers, including air carried-type, portable foggers, and mist sprayers"
2012575036,333111,1.0,NAICS_2012_Code,Manufacturing of attachments for sprayers and dusters
2012575039,333111,1.0,NAICS_2012_Code,"Manufacturing of farm blowers and attachments, including forage blowers, combination grain and forage blowers"
2012600000,333111,1.0,NAICS_2012_Code,"Manufacturing of planting, seeding, and fertilizing machinery and attachments, excluding turf machinery"
2012600003,333111,1.0,NAICS_2012_Code,"Manufacturing of pull- and mounted-type corn planters, corn and cotton planters, and lister planters"
2012600006,333111,1.0,NAICS_2012_Code,"Manufacturing of grain drills (fixed frame), all types"
2012600009,333111,1.0,NAICS_2012_Code,"Manufacturing of transplanters (pull-type or mounted) and broadcast seeders (end-gate, mounted, and drawn)"
2012600012,333111,1.0,NAICS_2012_Code,"Manufacturing of fertilizer distributors (pull-type or mounted) (excluding fertilizer attachments; lawn and garden hand types), dry (including lime spreaders)"
2012600015,333111,1.0,NAICS_2012_Code,"Manufacturing of fertilizer distributors (pull-type or mounted) (excluding fertilizer attachments; lawn and garden hand types), liquid and anhydrous ammonia"
2012600018,333111,1.0,NAICS_2012_Code,"Manufacturing of fertilizer distributors (pull-type or mounted) (excluding fertilizer attachments; lawn and garden hand types), manure spreaders, rear discharge"
2012600021,333111,1.0,NAICS_2012_Code,"Manufacturing of fertilizer distributors (pull-type or mounted) (exclude fertilizer attachments; lawn and garden hand types), manure spreaders, side discharge"
2012600024,333111,1.0,NAICS_2012_Code,"Manufacturing of fertilizer distributors (pull-type or mounted) (exclude fertilizer attachments; lawn and garden hand types), manure pumps, liquid"
2012600027,333111,1.0,NAICS_2012_Code,"Manufacturing of front and rear tractor mounted loaders (farm-type), manure and general utility (excluding beet and sugarcane loaders)"
2012600031,333111,1.0,NAICS_2012_Code,Manufacturing of row crop unit planters
2012600033,333111,1.0,NAICS_2012_Code,"Manufacturing of other planting, seeding, and fertilizing machinery"
2012600036,333111,1.0,NAICS_2012_Code,"Manufacturing of attachments, excluding planting attachments for lister, but including fertilizer attachments for plain drills, disc furrowing, grass waterway, check row plant, and grass seed attachments"
2012625000,333111,1.0,NAICS_2012_Code,Manufacturing of harvesting machinery (excluding hay and straw) and attachments
2012650000,333111,1.0,NAICS_2012_Code,Manufacturing of haying machinery and attachments
2012650003,333111,1.0,NAICS_2012_Code,"Manufacturing of mowers, cutter-bar-type (including drum and disk, excluding mower-conditioners)"
2012650006,333111,1.0,NAICS_2012_Code,Manufacturing of mower conditioners and windrowers with conditioner auger- and draper-type (pull-type and self-propelled)
2012650009,333111,1.0,NAICS_2012_Code,"Manufacturing of rakes, side delivery, cylinder-type, finger wheel-type, rotary, tedder and combination rotary/tedder-type"
2012650012,333111,1.0,NAICS_2012_Code,"Manufacturing of hay balers, field-type, and bale throwing attachments"
2012650015,333111,1.0,NAICS_2012_Code,Manufacturing of other haying machinery
2012650018,333111,1.0,NAICS_2012_Code,"Manufacturing of other attachments for haying machinery (stripper, bale chute, knife attachments, etc.)"
2012675000,333111,1.0,NAICS_2012_Code,"Manufacturing of farm plows (including plowshares, primary tillage), harrows, rollers, pulverizers, cultivators and weeders, and attachments"
2012675003,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, sub-soilers (deep tillage), wide shank"
2012675006,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, terracing and ditching plows"
2012675009,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, chisel plows, deep tillage pull- or mounted-type (chisel or sweep-type)"
2012675012,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, other plows, excluding snow plows"
2012675015,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, attachments for plows (coulters, jointers, root cutters, sub-soilers, fertilizer distributors, powershares, etc.) (excluding lister planting attachments)"
2012675018,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, spike-tooth harrow sections and spring-tooth and tine-tooth harrow sections"
2012675021,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, disc harrows, single, tandem, and offset"
2012675024,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, combination tillage equipment, roller/harrows, disc or coulter/field cultivators, disc or coulter/spring-tooth"
2012675027,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, blade terracer or scrapers (farm size)"
2012675031,333111,1.0,NAICS_2012_Code,"Manufacturing of primary tillage equipment, middlebusters and disc bedders (excluding planting attachments)"
2012675033,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, land levelers"
2012675036,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage equipment, all other harrows, rollers, pulverizers, and similar equipment"
2012675039,333111,1.0,NAICS_2012_Code,"Manufacturing of secondary tillage attachments (including folding extension, furrow fillers, drawbars, adapter hitches, gauge wheels, and drawbar attachments)"
2012675042,333111,1.0,NAICS_2012_Code,"Manufacturing of cultivators and weeders, secondary tillage (including corn, cotton, rotary field, and attachments)"
2012700000,333111,1.0,NAICS_2012_Code,"Manufacturing of all other farm machinery and equipment (excluding parts), including attachments"
2012700003,333111,1.0,NAICS_2012_Code,"Manufacturing of stalk shredders and cutters or rotary mowers (PTO), flail-type (without spout)"
2012700006,333111,1.0,NAICS_2012_Code,"Manufacturing of stalk shredders and cutters or rotary mowers (PTO), horizontal-blade-type, 66 inches cutting width and under"
2012700009,333111,1.0,NAICS_2012_Code,"Manufacturing of stalk shredders and cutters or rotary mowers (PTO), over 66 inches and up to 100 inches cutting width"
2012700012,333111,1.0,NAICS_2012_Code,"Manufacturing of stalk shredders and cutters or rotary mowers (PTO), over 100 inches cutting width"
2012700015,333111,1.0,NAICS_2012_Code,"Manufacturing of feed grinders and crushers, power"
2012700018,333111,1.0,NAICS_2012_Code,"Manufacturing of feed mixers (farm size), stationary and portable"
2012700021,333111,1.0,NAICS_2012_Code,"Manufacturing of driers (grain, hay, and seed), heated air crop driers"
2012700024,333111,1.0,NAICS_2012_Code,"Manufacturing of driers (grain, hay, and seed), crop drying fans only (over 15,000 c.f.m. at approximately one-inch pressure)"
2012700027,333111,1.0,NAICS_2012_Code,"Manufacturing of other machines for preparing crops for market or for use, including cotton ginning machinery and combination grinder-mixers"
2012700031,333111,1.0,NAICS_2012_Code,Manufacturing of all other farm machinery and equipment attachments
2012700033,333111,1.0,NAICS_2012_Code,"Manufacturing of farm poultry equipment, incubators"
2012700036,333111,1.0,NAICS_2012_Code,"Manufacturing of farm poultry equipment, brooders, floor and hanging, gas, electric, oil, coal, wood and battery"
2012700039,333111,1.0,NAICS_2012_Code,"Manufacturing of farm poultry equipment, poultry feeders (trough, hanging, and mechanical) and waterers (excluding turkey feeders and waterers)"
2012700042,333111,1.0,NAICS_2012_Code,"Manufacturing of farm poultry equipment, other farm poultry equipment, including turkey waterers, mechanized egg graders, egg washers, and nests and cages"
2012700045,333111,1.0,NAICS_2012_Code,Manufacturing of attachments for farm poultry equipment
2012700048,333111,1.0,NAICS_2012_Code,"Manufacturing of other barn and barnyard equipment, silo and grain bin unloaders, forage and grain including seated storage unloader (farm-type)"
2012700051,333111,1.0,NAICS_2012_Code,"Manufacturing of cattle and dairy barn equipment, feeding"
2012700054,333111,1.0,NAICS_2012_Code,"Manufacturing of cattle and dairy barn equipment, handling"
2012700057,333111,1.0,NAICS_2012_Code,"Manufacturing of cattle and dairy barn equipment, water"
2012700061,333111,1.0,NAICS_2012_Code,"Manufacturing of other barn and barnyard equipment (excluding construction items such as partitioners, doors, windows, pillars, etc.)"
2012700063,333111,1.0,NAICS_2012_Code,Manufacturing of other barn and barnyard equipment attachments
2012700066,333111,1.0,NAICS_2012_Code,"Manufacturing of hog equipment, including feeding, handling, and water equipment and attachments"
2012700069,333111,1.0,NAICS_2012_Code,"Manufacturing of farm wagons and other farm transportation equipment, wagons (chassis only) and trailer gears (excluding motor trucks), 4-wheel"
2012700072,333111,1.0,NAICS_2012_Code,"Manufacturing of farm wagons and other farm transportation equipment, boxes and racks for mounting on wagons, and trailer gears, manual unloading or dump"
2012700075,333111,1.0,NAICS_2012_Code,"Manufacturing of farm wagons and other farm transportation equipment, boxes and racks for mounting on wagons, and trailer gears, gravity unloading (grain-type only)"
2012700078,333111,1.0,NAICS_2012_Code,"Manufacturing of farm wagons and other farm transportation equipment, boxes and racks for mounting on wagons, and trailer gears, power unloading"
2012700081,333111,1.0,NAICS_2012_Code,"Manufacturing of farm wagons and other farm transportation equipment, boxes with internal running gear, grain- and forage-types"
2012700084,333111,1.0,NAICS_2012_Code,Manufacturing of other farm wagons and transportation equipment
2012700087,333111,1.0,NAICS_2012_Code,Manufacturing of farm wagons and other farm transportation equipment attachments
2012700091,333111,1.0,NAICS_2012_Code,"Manufacturing of self-propelled irrigation systems, center-pivot"
2012700093,333111,1.0,NAICS_2012_Code,"Manufacturing of self-propelled irrigation systems, all other systems using 100-foot flexible hose feeder line and over"
2012725000,333111,1.0,NAICS_2012_Code,"Manufacturing of commercial turf and grounds care equipment, including attachments"
2012725003,333111,1.0,NAICS_2012_Code,Manufacturing of powered nonriding mowers and rotary turf motors
2012725006,333111,1.0,NAICS_2012_Code,Manufacturing of riding reel-type turf mowers (including greens mowers)
2012725009,333111,1.0,NAICS_2012_Code,"Manufacturing of other mower equipment, including flail and rotary mower cutting units, including gang"
2012725012,333111,1.0,NAICS_2012_Code,Manufacturing of commercial turf and grounds mowing equipment attachments
2012725015,333111,1.0,NAICS_2012_Code,"Manufacturing of other commercial turf and grounds care equipment (excluding mowing), seeders, spreaders, and top dresser attachments"
2012725018,333111,1.0,NAICS_2012_Code,"Manufacturing of other commercial turf and grounds care equipment (excluding mowing), aerators, spikers, dethatchers, and pluggers"
2012725021,333111,1.0,NAICS_2012_Code,"Manufacturing of other commercial turf and grounds care equipment (excluding mowing), power brooms, blowers, vacuums, and sweepers"
2012725024,333111,1.0,NAICS_2012_Code,"Manufacturing of other commercial turf and grounds care equipment (including trap rakes, transport trailers, turf tractors and trucks, sod cutters and sod harvesters, etc.), excluding agriculture and residential"
2012725027,333111,1.0,NAICS_2012_Code,"Manufacturing of other commercial turf and ground care equipment attachments, excluding mowing equipment"
2012750000,333120,1.0,NAICS_2012_Code,"Manufacturing of power cranes, draglines, shovels, and excavators (including surface mining equipment and attachments) (excluding parts)"
2012750003,333120,1.0,NAICS_2012_Code,"Manufacturing of excavators, hydraulic-operated, crawler-mounted, rated size in metric tons, not more than 24 metric tons (26.46 short tons)
"
2012750006,333120,1.0,NAICS_2012_Code,"Manufacturing of excavators, hydraulic-operated, crawler-mounted, rated size in metric tons, more than 24 metric but not more than 40 metric tons (44.09 short tons)"
2012750009,333120,1.0,NAICS_2012_Code,"Manufacturing of excavators, hydraulic-operated, crawler-mounted, rated size in metric tons, more than 40 metric tons"
2012750012,333120,1.0,NAICS_2012_Code,"Manufacturing of power cranes, hydraulic-operated, telescopic boom, wheel cranes (integral), multiple control stations, and rubber-mounted"
2012750015,333120,1.0,NAICS_2012_Code,"Manufacturing of power cranes, hydraulic-operated, telescopic boom, pinned-on-type, telescopic and articulated"
2012750018,333120,1.0,NAICS_2012_Code,"Manufacturing of power cranes, hydraulic-operated, telescopic boom, wheel cranes, one control station, self-propelled, and rubber-mounted"
2012750021,333120,1.0,NAICS_2012_Code,"Manufacturing of power cranes, pedestal or shipmounted marine cranes"
2012750024,333120,1.0,NAICS_2012_Code,"Manufacturing of other cranes and excavators built on-site, including locomotive wrecking, cable-operated excavators, draglines, and all-terrain cranes"
2012750027,333120,1.0,NAICS_2012_Code,"Manufacturing of hoe attachments for power cranes, draglines, and excavators"
2012750031,333120,1.0,NAICS_2012_Code,"Manufacturing of dragline bucket attachments, all sizes for power cranes, draglines, and excavators"
2012750033,333120,1.0,NAICS_2012_Code,"Manufacturing of clamshell/grapple attachments, all sizes for power cranes, draglines, and excavators"
2012750036,333120,1.0,NAICS_2012_Code,"Manufacturing of all other attachments for power cranes, draglines, and excavators"
2012750039,333120,1.0,NAICS_2012_Code,"Manufacturing of all other power cranes, draglines, shovels, and excavators (including surface mining equipment and attachments) (excluding parts)"
2012775000,333120,1.0,NAICS_2012_Code,"Manufacturing of mixers, pavers, and related equipment (excluding parts)"
2012775003,333120,1.0,NAICS_2012_Code,"Manufacturing of concrete mixers (including plaster and mortar), portable, all sizes, either truck-mixer or agitator or otherwise for concrete, plaster, or mortar applications"
2012775006,333120,1.0,NAICS_2012_Code,"Manufacturing of slipform concrete paving machines (including multipurpose, automated curb and gutter and concrete slipform pavers up to and including 34 feet wide) for concrete, plaster, or mortar applications"
2012775009,333120,1.0,NAICS_2012_Code,"Manufacturing of concrete trowels for concrete, plaster, or mortar applications"
2012775012,333120,1.0,NAICS_2012_Code,"Manufacturing of concrete vibrators (electric motor, gasoline engine, structural high-cycle, pneumatic, etc.) for concrete, plaster, or mortar applications"
2012775015,333120,1.0,NAICS_2012_Code,"Manufacturing of concrete batching plants, bin and batch, for concrete aggregate only and bulk cement for concrete, plaster, or mortar applications"
2012775018,333120,1.0,NAICS_2012_Code,"Manufacturing of all other concrete, plaster, and mortar mixing and paving machinery (including concrete pumps, mobile), and concrete screeds (hand-propelled or winch-type)"
2012775021,333120,1.0,NAICS_2012_Code,"Manufacturing of bituminous distributors, for asphalt or bituminous applications"
2012775024,333120,1.0,NAICS_2012_Code,"Manufacturing of bituminous pavers, self-propelled, 21,999 lbs gross weight and under (basic unit) for asphalt or bituminous applications"
2012775027,333120,1.0,NAICS_2012_Code,"Manufacturing of bituminous pavers, self-propelled, 22,000 lbs gross weight and over (basic unit) for asphalt or bituminous applications"
2012775031,333120,1.0,NAICS_2012_Code,Manufacturing of asphalt plants (including cold mix central plants) for asphalt or bituminous applications
2012775033,333120,1.0,NAICS_2012_Code,"Manufacturing of bituminous stabilization mixing equipment (including central mixing plants and mix-in-place), cold planers/milling machine (self-propelled) for asphalt or bituminous applications"
2012775036,333120,1.0,NAICS_2012_Code,Manufacturing of other asphalt and bituminous mixing and paving machinery for asphalt or bituminous applications
2012775039,333120,1.0,NAICS_2012_Code,"Manufacturing of other mixers, pavers, and related equipment products, for use in either concrete or bituminous applications"
2012800000,333120,1.0,NAICS_2012_Code,"Manufacturing of off-highway trucks, coal haulers, truck-type tractor chassis, trailers, and wagons (excluding parts)"
2012800003,333120,1.0,NAICS_2012_Code,"Manufacturing of off-highway trucks, rear dump haulers (excluding parts)"
2012800006,333120,1.0,NAICS_2012_Code,"Manufacturing of off-highway trucks, coal haulers, truck-type tractor chassis, trailers, and wagons (excluding parts)"
2012825000,333120,1.0,NAICS_2012_Code,"Manufacturing of tractor shovel loaders (skid steer, wheel, crawler, and integral-design loader-backhoes)"
2012825003,333120,1.0,NAICS_2012_Code,"Manufacturing of skid steer loaders, 4-wheel drive skid steer, all sizes"
2012825006,333120,1.0,NAICS_2012_Code,"Manufacturing of wheel loaders, rear engine mount, integral design, 4-wheel drive, non-skid steer, below 149 NEPH"
2012825009,333120,1.0,NAICS_2012_Code,"Manufacturing of wheel loaders, rear engine mount, integral design, 4-wheel drive, non-skid steer, 150 - 249 NEPH"
2012825012,333120,1.0,NAICS_2012_Code,"Manufacturing of wheel loaders, rear engine mount, integral design, 4-wheel drive, non-skid steer, 250 NEPH and over"
2012825015,333120,1.0,NAICS_2012_Code,Manufacturing of integral-design tractor shovel loader/backhoes (wheel tractor-chassis shipped as part of front engine mount contractor tractor)
2012825018,333120,1.0,NAICS_2012_Code,"Manufacturing of all other tractor shovel loaders (skid steer, wheel, crawler, and integral-design loader-backhoes)"
2012850000,333120,1.0,NAICS_2012_Code,"Manufacturing of construction wheel and crawler tractors, dozers, and self-propelled log skidders"
2012875000,333120,1.0,NAICS_2012_Code,"Manufacturing of motor graders and light maintainers (including rollers and compactors, rough-terrain forklifts, scraper bowls, and self-propelled continuous ditchers and trenchers) (excluding parts)"
2012875003,333120,1.0,NAICS_2012_Code,"Manufacturing of rollers, motor graders, light maintainers, and compactors (static smooth steel wheel rollers, tandem)"
2012875006,333120,1.0,NAICS_2012_Code,Manufacturing of pneumatic tire rollers
2012875009,333120,1.0,NAICS_2012_Code,"Manufacturing of vibratory single drum with 1 or 2 drive wheels, under 5 metric tons (5.51 short tons)"
2012875012,333120,1.0,NAICS_2012_Code,"Manufacturing of vibratory single drum with 1 or 2 drive wheels, 5 metric tons and over"
2012875015,333120,1.0,NAICS_2012_Code,"Manufacturing of vibratory double drum, two drums vibrating"
2012875018,333120,1.0,NAICS_2012_Code,"Manufacturing of all other compaction equipment (excluding hand-held), including embankment and landfill compactors, towed roller and double drum-compactors with one drum vibrating"
2012875021,333120,1.0,NAICS_2012_Code,"Manufacturing of rough-terrain forklifts (integral units only), vertical mast, 2-wheel drive"
2012875024,333120,1.0,NAICS_2012_Code,"Manufacturing of rough-terrain forklifts (integral units only), vertical mast, 4-wheel drive"
2012875027,333120,1.0,NAICS_2012_Code,"Manufacturing of rough-terrain forklifts (integral units only), telescopic handlers, 2- and 4-wheel drive"
2012875031,333120,1.0,NAICS_2012_Code,Manufacturing of scraper bowls
2012875033,333120,1.0,NAICS_2012_Code,"Manufacturing of ditchers and trenchers, ladder-type and wheel digging, element self-propelled (integral units only)"
2012900000,333120,1.0,NAICS_2012_Code,"Manufacturing of construction machinery for mounting on tractors and other prime movers (excluding parts, winches, and materials-handling equipment)"
2012900003,333120,1.0,NAICS_2012_Code,"Manufacturing of backhoes, either shipped for mounting separately or already mounted on an integral unit"
2012900006,333120,1.0,NAICS_2012_Code,"Manufacturing of other construction machinery for mounting on tractors and other prime movers (excluding parts, winches, and materials-handling equipment)"
2012925000,333120,1.0,NAICS_2012_Code,Manufacturing of other construction and forestry machinery and equipment (excluding parts)
2012925003,333120,1.0,NAICS_2012_Code,"Manufacturing of portable crushing plants, screening plants, washing plants, and combination plants (excluding parts)"
2012925006,333120,1.0,NAICS_2012_Code,"Manufacturing of snow clearing attachments for mounting on tractors or trucks (including truck-mounted salt and sand spreaders, v-shaped snow plows, single blades and wings, and snow blowers) (excluding parts)"
2012925009,333120,1.0,NAICS_2012_Code,"Manufacturing of commercial brush, limb, and log chippers for waste wood reduction (excluding parts)"
2012925012,333120,1.0,NAICS_2012_Code,Manufacturing of vertical earth augers and power posthole diggers (excluding water well and blasthole drills) (excluding parts)
2012925015,333120,1.0,NAICS_2012_Code,Manufacturing of horizontal earth boring machines and accessories (excluding parts)
2012925018,333120,1.0,NAICS_2012_Code,"Manufacturing of all other construction machinery and equipment, complete units"
2012950000,333130,1.0,NAICS_2012_Code,Manufacturing of underground mining machinery (excluding parts)
2012950003,333130,1.0,NAICS_2012_Code,"Manufacturing of continuous mining machines, borer, ripper, auger, and drum, including roadheading machines"
2012950006,333130,1.0,NAICS_2012_Code,"Manufacturing of face haulage vehicles, rubber-tired, self-propelled"
2012950009,333130,1.0,NAICS_2012_Code,"Manufacturing of support vehicles, rubber-tired or track-mounted"
2012950012,333130,1.0,NAICS_2012_Code,Manufacturing of all other underground mining machinery (excluding parts)
2012975000,333130,1.0,NAICS_2012_Code,Manufacturing of mineral processing and beneficiation machinery (excluding parts)
2013000000,333130,1.0,NAICS_2012_Code,"Manufacturing of stationary crushing, pulverizing, and screening machinery (excluding parts)"
2013000003,333130,1.0,NAICS_2012_Code,"Manufacturing of gyratory crushers, stationary-type (including skid-mounted)"
2013000006,333130,1.0,NAICS_2012_Code,"Manufacturing of impact crushers, stationary-type (including skid-mounted)"
2013000009,333130,1.0,NAICS_2012_Code,"Manufacturing of jaw crushers, stationary-type (including skid-mounted)"
2013000012,333130,1.0,NAICS_2012_Code,"Manufacturing of roll crushers, stationary-type (including skid-mounted)"
2013000015,333130,1.0,NAICS_2012_Code,"Manufacturing of grinding mills and pulverizers, stationary"
2013000018,333130,1.0,NAICS_2012_Code,"Manufacturing of horizontal screens, vibrating, stationary"
2013000021,333130,1.0,NAICS_2012_Code,"Manufacturing of inclined screens, vibrating, stationary"
2013000024,333130,1.0,NAICS_2012_Code,"Manufacturing of other crushers, including trommel, stationary-type (including skid-mounted)"
2013000027,333130,1.0,NAICS_2012_Code,"Manufacturing of other stationary crushing, pulverizing, and screening machinery (excluding parts)"
2013025000,333130,1.0,NAICS_2012_Code,Manufacturing of drills and other mining machinery (excluding parts)
2013025003,333130,1.0,NAICS_2012_Code,"Manufacturing of rock drills, air- and hydraulic-powered drills and breakers (rotary and percussion)"
2013025006,333130,1.0,NAICS_2012_Code,"Manufacturing of coal drills, core drills, and breakers (rotary and percussion)"
2013025009,333130,1.0,NAICS_2012_Code,"Manufacturing of roof bolters, drills, and breakers (rotary and percussion)"
2013025012,333130,1.0,NAICS_2012_Code,Manufacturing of other drills and other mining machinery and equipment (excluding parts)
2013050000,333130,1.0,NAICS_2012_Code,"Manufacturing of rotary oil and gas field drilling machinery and equipment, excluding parts"
2013075000,333130,1.0,NAICS_2012_Code,"Manufacturing of other oil and gas field drilling machinery and equipment, excluding parts"
2013100000,333130,1.0,NAICS_2012_Code,Manufacturing of oil and gas field production machinery and equipment (excluding pumps and parts)
2013125000,333130,1.0,NAICS_2012_Code,Manufacturing of portable drilling rigs used on the surface (above ground)
2013125003,333130,1.0,NAICS_2012_Code,"Manufacturing of portable rotary drilling rigs, truck, trailer, or crane carrier-mounted"
2013125006,333130,1.0,NAICS_2012_Code,"Manufacturing of rotary blasthole drill rigs, truck, trailer, or track-mounted"
2013125009,333130,1.0,NAICS_2012_Code,"Manufacturing of construction, bucket, and auger drilling rigs, no continuous fluid cleaning"
2013125012,333130,1.0,NAICS_2012_Code,"Manufacturing of other portable drillings rigs, including workover (service), cable tool, and reverse circulation rigs"
2013150000,333130,1.0,NAICS_2012_Code,"Manufacturing of oil and gas field derricks, substructures and accessories, including well-surveying machinery and equipment and well-logging equipment"
2013175000,333914,1.0,NAICS_2012_Code,"Manufacturing of oil-well and oil-field pumps, excluding boiler feed (including the value of the driver if shipped as a complete unit)"
2013200000,33329A,1.0,NAICS_2007_Code,"Manufacturing of woodworking sawmill equipment, including circular and band saws (head rigs), specialized sawmill materials handling equipment, and other woodworking  sawmill equipment"
2013225000,33329A,1.0,NAICS_2007_Code,"Manufacturing of woodworking sawing machines (excluding sawmill equipment), planing machinery, sanding, boring, mortising, lathes, routers, shapers, assembling, multifunction, and other woodworking machines and equipment"
2013250000,33329A,1.0,NAICS_2007_Code,"Manufacturing of woodworking saws, including circular and band saws and other woodworking machinery for home workshops, garages, and service shops (excluding chain saws and other power-driven handtools)"
2013275000,33329A,1.0,NAICS_2007_Code,"Manufacturing of plastic screw extrusion machines, excluding patterns and molds"
2013300000,33329A,1.0,NAICS_2007_Code,"Manufacturing of plastic molding machines, excluding patterns and molds"
2013325000,33329A,1.0,NAICS_2007_Code,Manufacturing of other machinery for working plastics and making products from plastics
2013325003,33329A,1.0,NAICS_2007_Code,"Manufacturing of thermoforming (vacuum forming) machinery for plastics manufacturing, excluding patterns and molds"
2013325006,33329A,1.0,NAICS_2007_Code,Manufacturing of other machinery for working plastics and making products from plastics
2013350000,33329A,1.0,NAICS_2007_Code,"Manufacturing of machinery for working rubber and making products of rubber, excluding tire molds"
2013375000,33329A,1.0,NAICS_2007_Code,"Manufacturing of paper industry wood preparations equipment and other paper industry pulp mill machinery (including pulp mill digesters and deckers, etc.)"
2013400000,33329A,1.0,NAICS_2007_Code,Manufacturing of paper mill paper making machines
2013425000,33329A,1.0,NAICS_2007_Code,"Manufacturing of machines for making bags, boxes, molding articles in paper pulp, paper, paperboard, and paper and paperboard cutting machines, etc."
2013425003,33329A,1.0,NAICS_2007_Code,Manufacturing of paper and paperboard cutting machines (excluding sheeters and winders)
2013425006,33329A,1.0,NAICS_2007_Code,"Manufacturing of machines for making paper and paperboard bags, sacks, and envelopes"
2013425009,33329A,1.0,NAICS_2007_Code,Manufacturing of paper and paperboard corrugated box making machines
2013425012,33329A,1.0,NAICS_2007_Code,"Manufacturing of machines for making paper and paperboard cartons, boxes, cases, tubes, drums, and similar containers, excluding by molding (excluding corrugated box making machines)"
2013425015,33329A,1.0,NAICS_2007_Code,Manufacturing of other paper and paperboard converting equipment for finishing paper or paperboard
2013425018,33329A,1.0,NAICS_2007_Code,Manufacturing of other paper and paperboard converting equipment for converting paper and paperboard
2013450000,33329A,1.0,NAICS_2007_Code,"Manufacturing of paper mill coating, calendering, rolling, and finishing machines"
2013475000,33329A,1.0,NAICS_2007_Code,"Manufacturing of printing presses, offset lithographic, sheet-fed"
2013500000,33329A,1.0,NAICS_2007_Code,"Manufacturing of printing presses, offset lithographic, roll-fed (web-fed), newspaper"
2013525000,33329A,1.0,NAICS_2007_Code,"Manufacturing of printing presses, offset lithographic, other roll-fed (web-fed)"
2013550000,33329A,1.0,NAICS_2007_Code,"Manufacturing of printing presses, offset lithographic, roll-fed (web-fed), commercial (including heat-set)"
2013575000,33329A,1.0,NAICS_2007_Code,"Manufacturing of printing presses, flexographic, sheet-fed and roll-fed (web-fed)"
2013600000,33329A,1.0,NAICS_2007_Code,Manufacturing of other printing presses
2013625000,33329A,1.0,NAICS_2007_Code,"Manufacturing of binding machinery and equipment (including paper cutting, collating, and gathering machines)"
2013650000,33329A,1.0,NAICS_2007_Code,Manufacturing of prepress preparatory equipment (excluding typesetting equipment and cameras)
